 gate_2_Voltage  gate_1_Voltage   drain_Voltage  source_Voltage      substrate_Voltage source_channel_Current drain_channel_Current substrate_substrateregion_Current
 0.00000000e+00  0.00000000e+00  2.00000000e+00  0.00000000e+00         0.00000000e+00         1.82036453e-08       -1.82036453e-08 -7.88178344e-16
 1.00000000e-01  1.00000000e-01  2.00000000e+00  0.00000000e+00         0.00000000e+00         6.26534491e-08       -6.26534490e-08 -8.14600466e-17
 2.00000000e-01  2.00000000e-01  2.00000000e+00  0.00000000e+00         0.00000000e+00         2.17573215e-07       -2.17573215e-07 -4.08270032e-17
 3.00000000e-01  3.00000000e-01  2.00000000e+00  0.00000000e+00         0.00000000e+00         5.05351249e-07       -5.05351248e-07  2.83156197e-17
 4.00000000e-01  4.00000000e-01  2.00000000e+00  0.00000000e+00         0.00000000e+00         8.95306101e-07       -8.95306101e-07  1.86565832e-17
 5.00000000e-01  5.00000000e-01  2.00000000e+00  0.00000000e+00         0.00000000e+00         1.35731512e-06       -1.35731512e-06 -6.29498591e-18
 6.00000000e-01  6.00000000e-01  2.00000000e+00  0.00000000e+00         0.00000000e+00         1.84209095e-06       -1.84209095e-06 -2.89403803e-18
 7.00000000e-01  7.00000000e-01  2.00000000e+00  0.00000000e+00         0.00000000e+00         2.33858989e-06       -2.33858989e-06 -2.36321809e-18
 8.00000000e-01  8.00000000e-01  2.00000000e+00  0.00000000e+00         0.00000000e+00         2.84415235e-06       -2.84415235e-06 -9.40872016e-19
 9.00000000e-01  9.00000000e-01  2.00000000e+00  0.00000000e+00         0.00000000e+00         3.34957412e-06       -3.34957412e-06 -8.43504000e-19
 1.00000000e+00  1.00000000e+00  2.00000000e+00  0.00000000e+00         0.00000000e+00         3.85879885e-06       -3.85879885e-06 -1.43067262e-16
 1.10000000e+00  1.10000000e+00  2.00000000e+00  0.00000000e+00         0.00000000e+00         4.37194628e-06       -4.37194628e-06 -2.72794443e-16
 1.20000000e+00  1.20000000e+00  2.00000000e+00  0.00000000e+00         0.00000000e+00         4.88807632e-06       -4.88807632e-06 -1.72887890e-17
 1.30000000e+00  1.30000000e+00  2.00000000e+00  0.00000000e+00         0.00000000e+00         5.40515680e-06       -5.40515679e-06  1.09650749e-16
 1.40000000e+00  1.40000000e+00  2.00000000e+00  0.00000000e+00         0.00000000e+00         5.91972645e-06       -5.91972645e-06  1.33111264e-16
 1.50000000e+00  1.50000000e+00  2.00000000e+00  0.00000000e+00         0.00000000e+00         6.42633176e-06       -6.42633176e-06 -3.65820062e-17
 1.60000000e+00  1.60000000e+00  2.00000000e+00  0.00000000e+00         0.00000000e+00         6.91664005e-06       -6.91664005e-06  7.95178937e-19
 1.70000000e+00  1.70000000e+00  2.00000000e+00  0.00000000e+00         0.00000000e+00         7.37947924e-06       -7.37947924e-06  9.35225916e-19
 1.80000000e+00  1.80000000e+00  2.00000000e+00  0.00000000e+00         0.00000000e+00         7.80313834e-06       -7.80313834e-06  1.15671286e-18
 1.90000000e+00  1.90000000e+00  2.00000000e+00  0.00000000e+00         0.00000000e+00         8.17980740e-06       -8.17980740e-06  1.34531116e-18
 2.00000000e+00  2.00000000e+00  2.00000000e+00  0.00000000e+00         0.00000000e+00         8.50806590e-06       -8.50806590e-06  1.33706122e-18
