 gate_2_Voltage  gate_1_Voltage   drain_Voltage  source_Voltage      substrate_Voltage source_channel_Current drain_channel_Current substrate_substrateregion_Current
 0.00000000e+00  0.00000000e+00  2.00000000e+00  0.00000000e+00         0.00000000e+00         1.78440220e-13       -1.78520814e-13 -2.03087340e-15
 1.00000000e-01  1.00000000e-01  2.00000000e+00  0.00000000e+00         0.00000000e+00         1.42212870e-12       -1.42250565e-12 -2.38495656e-16
 2.00000000e-01  2.00000000e-01  2.00000000e+00  0.00000000e+00         0.00000000e+00         9.86126521e-12       -9.86116833e-12 -1.81374562e-16
 3.00000000e-01  3.00000000e-01  2.00000000e+00  0.00000000e+00         0.00000000e+00         7.07823603e-11       -7.07821881e-11 -7.39111427e-17
 4.00000000e-01  4.00000000e-01  2.00000000e+00  0.00000000e+00         0.00000000e+00         3.85340534e-10       -3.85340382e-10 -5.75981639e-17
 5.00000000e-01  5.00000000e-01  2.00000000e+00  0.00000000e+00         0.00000000e+00         1.49842497e-09       -1.49842495e-09 -4.00835562e-17
 6.00000000e-01  6.00000000e-01  2.00000000e+00  0.00000000e+00         0.00000000e+00         4.72173677e-09       -4.72173691e-09 -3.20962644e-17
 7.00000000e-01  7.00000000e-01  2.00000000e+00  0.00000000e+00         0.00000000e+00         1.19328537e-08       -1.19328537e-08  2.86141978e-19
 8.00000000e-01  8.00000000e-01  2.00000000e+00  0.00000000e+00         0.00000000e+00         2.49155974e-08       -2.49155974e-08 -4.22004262e-19
 9.00000000e-01  9.00000000e-01  2.00000000e+00  0.00000000e+00         0.00000000e+00         4.58603641e-08       -4.58603618e-08  4.35898079e-16
 1.00000000e+00  1.00000000e+00  2.00000000e+00  0.00000000e+00         0.00000000e+00         7.60992204e-08       -7.60992218e-08 -3.23331632e-17
 1.10000000e+00  1.10000000e+00  2.00000000e+00  0.00000000e+00         0.00000000e+00         1.16118942e-07       -1.16118942e-07  2.78439234e-17
 1.20000000e+00  1.20000000e+00  2.00000000e+00  0.00000000e+00         0.00000000e+00         1.65738352e-07       -1.65738352e-07  1.13481622e-17
 1.30000000e+00  1.30000000e+00  2.00000000e+00  0.00000000e+00         0.00000000e+00         2.24437653e-07       -2.24437653e-07  3.09645080e-19
 1.40000000e+00  1.40000000e+00  2.00000000e+00  0.00000000e+00         0.00000000e+00         2.91564235e-07       -2.91564235e-07  4.64354373e-18
 1.50000000e+00  1.50000000e+00  2.00000000e+00  0.00000000e+00         0.00000000e+00         3.66488370e-07       -3.66488370e-07  3.34625405e-18
 1.60000000e+00  1.60000000e+00  2.00000000e+00  0.00000000e+00         0.00000000e+00         4.48653925e-07       -4.48653924e-07  4.17598007e-18
 1.70000000e+00  1.70000000e+00  2.00000000e+00  0.00000000e+00         0.00000000e+00         5.37413292e-07       -5.37413292e-07  6.81653147e-19
 1.80000000e+00  1.80000000e+00  2.00000000e+00  0.00000000e+00         0.00000000e+00         6.32304995e-07       -6.32304995e-07 -1.53875788e-17
 1.90000000e+00  1.90000000e+00  2.00000000e+00  0.00000000e+00         0.00000000e+00         7.31179817e-07       -7.31179817e-07  5.96632935e-18
 2.00000000e+00  2.00000000e+00  2.00000000e+00  0.00000000e+00         0.00000000e+00         8.31879719e-07       -8.31879719e-07 -1.76778358e-16
